Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Ślusarz-monter tras kablowych"; "Sulistrowa, podkarpackie"; "Umowa zlecenie / Umowa o świadczenie usług"; "ELEKTRON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-08"; 
"Ślusarz-nitowacz"; "Lublin, lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; "2025-02-06"; 
"ślusarz-pracownik fizyczny"; "Międzyrzec Podlaski, lubelskie"; "Umowa o pracę na okres próbny"; "Zremb Poland Sp. z o.o."; "2024-11-22"; 
"ślusarz-składacz"; "Ruda Śląska, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "P.P.U.H ""PROMUS RUDA ŚLĄSKA"" Sp. z o.o."; "2025-01-22"; 
"ślusarz-spawacz"; "Ostrzeszów, wielkopolskie"; "Umowa o pracę na okres próbny"; "KUT-KONSTRUKCJE Katarzyna Przybysz"; "2025-01-17"; 
"Ślusarz-spawacz"; "Nieznanice, śląskie"; "Umowa o pracę na czas nieokreślony"; "ZME BAJPAX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"Ślusarz-spawacz"; "Stary Sącz, małopolskie"; "Umowa o pracę na czas określony"; "EKRAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Ślusarz-spawacz"; "Pleszew, wielkopolskie"; "Umowa o pracę na okres próbny"; "PHPU RYSTAL Pleszew Sp.z.o.o"; "2025-01-20"; 
"Ślusarz-spawacz"; "Grudziądz, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO USŁUGOWO-PRODUKCYJNO-HANDLOWE ""TECHNOMECHANIKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Ślusarz-spawacz"; "Trzebnica, dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "DRU-MAR SYSTEMY OGRODZENIOWE MAREK HAMELA"; "2025-01-29"; 
"Ślusarz-spawacz"; "Lubin, dolnośląskie"; "Umowa o pracę na okres próbny"; "WYTWÓRNIA BETONÓW PREFABRYKOWANYCH ""PREDOM"" S.A"; "2025-01-30"; 
"Ślusarz-spawacz"; "Warszawa, mazowieckie"; "Umowa o pracę na okres próbny"; "Invest-In Sp. z o.o."; "2025-01-30"; 
"Ślusarz-spawacz"; "Szczucin, małopolskie"; "Umowa o pracę na czas określony"; "COMPLEX-BUD Sp. z o. o."; "2025-01-31"; 
"Ślusarz-spawacz"; "Lublin, lubelskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; "2025-02-06"; 
"ŚLUSARZ-SPAWACZ"; "Ornontowice, śląskie"; "Umowa o pracę na okres próbny"; """ROTAMETR"" s.c. Rudolf Malczyk, Kamil Malczyk"; "2024-12-13"; 
"ŚLUSARZ-SPAWACZ"; "Rzeszów, podkarpackie"; "Umowa o pracę na czas określony"; "FABRYKA BETONOMIESZAREK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-14"; 
"ŚLUSARZ-SPAWACZ"; "Stargard, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD METALOWY ""AGA"" T. SZWARC R. BUDAWSKI SPÓŁKA JAWNA"; "2025-01-23"; 
"ŚLUSARZ-SPAWACZ"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "DB CARGO POLSKA SPÓŁKA AKCYJNA"; "2025-01-23"; 
"ŚLUSARZ-SPAWACZ"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "GRUPA AZOTY PROREM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"Ślusarz-spawacz (O)"; "Tuchów, małopolskie"; "Umowa o pracę na okres próbny"; "WIMED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-02-06"; 
"Ślusarz-spawacz pod ziemią"; "Polkowice, dolnośląskie"; "Umowa o pracę na okres próbny"; "SPECJALISTYCZNE PRZEDSIĘBIORSTWO BUDOWY KOPALŃ ""SERWIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-21"; 
"Ślusarz-tokarz"; "Wielki Konopat, kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "DREW-TECHNIKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"Ślusarz-Tokarz"; "Janki, mazowieckie"; "Umowa o pracę na okres próbny"; """AUTO-LINKA"" Maria Frydzińska"; "2025-01-02"; 
"ślusarz, spawacz"; "Szymonków, opolskie"; "Umowa o pracę na czas nieokreślony"; "BETOMET SP. Z O.O."; "2025-01-23"; 
"Ślusarz, spawacz"; "Krotoszyn, wielkopolskie"; "Umowa o pracę na okres próbny"; "P.W. Agrounima - C. Sztuder"; "2025-01-20"; 
"ślusarz, spawacz konstrukcji wsporczych"; "Wolbrom, małopolskie"; "Umowa o pracę na czas nieokreślony"; "TETRATRONIK SŁAWOMIR JANUS ZAKŁAD USŁUGOWY"; "2025-01-10"; 
"Ślusarz/ Blacharz samochodowy"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "RYSZARD TURLEJ PRZEDSIĘBIORSTWO USŁUGOWE NAPRAW I OBSŁUGI POJAZÓW ""HIT-BUS"""; "2025-02-03"; 
"Ślusarz/ Elektryk"; "Gdańsk, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "EXPANDER SERVICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Ślusarz/ Elektryk"; "Pruszcz Gdański, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "QUALITY SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-20"; 
"Ślusarz/ mechanik R90/2958-1610/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "MERCON-SERWIS PAWEŁ BOJAKOWSKI"; "2024-12-30"; 
"Ślusarz/ Monter"; "Koszwały, pomorskie"; "Umowa o pracę na okres próbny"; "BASE GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Ślusarz/ Pomocnik ślusarza wyposażenia okrętowego"; "Gdynia, pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "RBS BALTIC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"Ślusarz/ Spawacz"; "Gdańsk, pomorskie"; "Umowa o pracę na czas określony"; "AMAR I MAJ MICHAŁ SPÓŁKA KOMANDYTOWA"; "2025-01-14"; 
"ŚLUSARZ/ SPAWACZ"; "Kurzętnik, warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "KONTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-05"; 
"ŚLUSARZ/MECHANIK"; "Zawadzkie, opolskie"; "Umowa o pracę na okres próbny"; "SKRAW - TECH SPÓŁKA CYWILNA A. JANIKOWSKI, K. JANIKOWSKI"; "2025-01-20"; 
"Ślusarz/mechanik maszyn i urządzeń górniczych "; "Chrzanów, małopolskie"; "Umowa o pracę na okres próbny"; "KOPALNIA I PRAŻALNIA DOLOMITU ""ŻELATOWA"" SPÓŁKA AKCYJNA"; "2025-01-23"; 
"Ślusarz/Monter"; "Ornontowice, śląskie"; "Umowa o pracę na okres próbny"; "MAJLO LESZEK KNIEJSKI"; "2025-02-03"; 
"ŚLUSARZ/MONTER"; "Kędzierzyn-Koźle, opolskie"; "Umowa o pracę na okres próbny"; "KOFAMA KOŹLE SPÓŁKA AKCYJNA"; "2025-01-27"; 
"Ślusarz/monter konstrukcji stalowych"; "Woszczele, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Budowlane SZCZUKA Szczuka Jacek"; "2025-01-22"; 
"Ślusarz/pomocnik ślusarza"; "Mielec, podkarpackie"; "Umowa o pracę na czas określony"; "KASBET Sp. z o.o."; "2025-01-20"; 
"ślusarz/spawacz"; "Jędrzejów, świętokrzyskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Budownictwa Ogólnego ""KARTEL"" S.A."; "2025-01-08"; 
"Ślusarz/spawacz"; "Śrem, wielkopolskie"; "Umowa o pracę na okres próbny"; "DJ PARTNER JACEK DZIURKA"; "2025-01-02"; 
"Ślusarz/spawacz"; "Lubin, dolnośląskie"; "Umowa o pracę na okres próbny"; "ZUW URBEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-03"; 
"Ślusarz/spawacz"; "Siemianowice Śląskie, śląskie"; "Umowa o pracę na okres próbny"; """AMS METAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-08"; 
"Ślusarz/spawacz"; "Łuszczów Drugi, lubelskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Montażowe""MONTECH"" Sp. z o.o."; "2025-01-09"; 
"Ślusarz/spawacz"; "Ludwin-Kolonia, lubelskie"; "Umowa o pracę na czas określony"; "Wytwórnia Makaronu Domowego ""POL-MAK"" S.A."; "2025-02-04"; 
"Ślusarz/Szlifierz/Monter"; "Gliwice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "TIM EKSPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-16"; 
"Śruciarz konstrukcji stalowych (O)"; "Niedomice, małopolskie"; "Umowa o pracę na okres próbny"; "ABF INVEST Sp. z o. o."; "2025-01-23"; 
"Śruciarz/malarz"; "Pruszcz Gdański, pomorskie"; "Umowa o pracę na okres próbny"; "Joanna Lenartowicz FREZ-TIG"; "2025-01-24"; 
"Świadczenie usług asystencji osobistej osoby z niepełnosprawnością"; "Dygowo, zachodniopomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Gminny Ośrodek Pomocy Społecznej w Dygowie"; "2025-01-31"; 
"Taksówkarz"; "Poznań, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "MAGNET PARTNER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-31"; 
"Taksówkarz"; "Poznań, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CARTEL AUTO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-06"; 
"Taksówkarz"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; "2025-02-07"; 
"TAKSÓWKARZ (z własnym samochodem)"; "Stargard, zachodniopomorskie"; "Wybór"; "STOWARZYSZENIE TAKSÓWKARZY ""GRYF STARGARDZKI"""; "2025-01-08"; 
"Taksydermista"; "Guben, Niemcy"; "Umowa o pracę na czas nieokreślony"; "Gubener Plastinate GmbH"; "2022-05-09"; 
"Tapeciarz"; "Katowice, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "AW CENTRUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"tapicer"; "Płużnica, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Nitex W. Mucha Spółka Komandytowo Akcyjna"; "2024-11-18"; 
"tapicer"; "Sieradz, łódzkie"; "Umowa o pracę na okres próbny"; "Fabryka Mebli BENIX Kaczorowscy Spółka Jawna"; "2025-01-22"; 
"tapicer"; "Bystrzyca Kłodzka, dolnośląskie"; "Umowa o pracę na czas określony"; "TESSA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-28"; 
"Tapicer"; "Sampława, warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "BUKARDI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-20"; 
"Tapicer"; "Kalisz, wielkopolskie"; "Umowa o pracę na czas określony"; "MEBLEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-07"; 
"Tapicer"; "Bytom, śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "TAPICER Adam Marek"; "2025-01-08"; 
"Tapicer"; "Stanowice, śląskie"; "Nie dotyczy"; "FIRMA PRODUKCYJNO-HANDLOWO-USŁUGOWA WIENCEK GRZEGORZ"; "2025-01-10"; 
"Tapicer"; "Klecza Dolna, małopolskie"; "Umowa o pracę na okres próbny"; "FILEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-10"; 
"Tapicer"; "Będzin, śląskie"; "Umowa o pracę na okres próbny"; "P.P.H.U. ""WANDA"" S.C. JULIAN PARADOWSKI, WANDA PARADOWSKA"; "2025-01-13"; 
"Tapicer"; "Kielno, pomorskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD STOLARSKO-TAPICERSKI Kazimierz Miąskowski"; "2025-01-15"; 
"Tapicer"; "Czersk, pomorskie"; "Umowa o pracę na czas określony"; "Zakład Tapicersko-Stolarski ""DREWPOL"" Ossowski Dariusz"; "2025-01-16"; 
"Tapicer"; "Psarskie, wielkopolskie"; "Umowa o pracę na czas określony"; "OFLOR Sp. z o.o. Psarskie"; "2025-01-20"; 
"Tapicer"; "Zwierzyniec, lubelskie"; "Umowa o pracę na okres próbny"; "JOBON spółka z o.o."; "2025-01-23"; 
"Tapicer"; "Topole, pomorskie"; "Umowa o pracę na czas określony"; "FEY Sp. z o.o."; "2025-01-23"; 
"Tapicer"; "Kuchary Kościelne, wielkopolskie"; "Umowa o pracę na czas określony"; "STOLPIN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-23"; 
"Tapicer"; "Zamość, lubelskie"; "Umowa o pracę na okres próbny"; "Meble Polskie Janusz Fijałek"; "2025-01-24"; 
"Tapicer"; "Dębno, zachodniopomorskie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo Produkcyjno handlowe KAMA sp zoo"; "2025-01-24"; 
"Tapicer"; "Jasień, lubuskie"; "Umowa o pracę na okres próbny"; "DGMeble s.c. DZIURZYŃSKI Michał, Dziurzyński Grzegorz"; "2025-01-24"; 
"Tapicer"; "Nowy Sącz, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; "2025-01-28"; 
"Tapicer"; "Gronowo Górne, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO ""ELMARK"" MAREK FIŁONOWICZ ZAKŁAD STOLARSKO - TAPICERSKI"; "2025-01-30"; 
"Tapicer"; "Kornice, śląskie"; "Umowa o pracę na czas nieokreślony"; "ProLine24 Sp. z o.o."; "2025-01-31"; 
"Tapicer"; "Palikówka, podkarpackie"; "Umowa o pracę na okres próbny"; "P.P.U.H. TOP MEBLE JAROSŁAW REJMAN"; "2025-02-03"; 
"Tapicer"; "Gniezno, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-02-04"; 
"Tapicer"; "Elbląg, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "HALEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-02-05"; 
"Tapicer"; "Lubawa, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Houselife Katarzyna Filarska Tomasz Filarski s.c."; "2025-02-06"; 
"TAPICER"; "Łęka Opatowska, wielkopolskie"; "Umowa o pracę na okres próbny"; ",,IDŹCZAK- MEBLE"" Firma P.H.U. Roman Idźczak"; "2025-01-20"; 
"Tapicer - Samodzielny"; "Tomice, małopolskie"; "Umowa o pracę na okres próbny"; "FIRMA ""KOLMAR"" KOLASA ARIEL"; "2025-01-29"; 
"Tapicer meblowy"; "Radomsko, łódzkie"; "Umowa o pracę na okres próbny"; "IMFURNITURE.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-27"; 
"Tapicer meblowy"; "Lidzbark, warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "CLASSIC SOFA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-29"; 
"Tapicer meblowy"; "Radomsko, łódzkie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; "2025-02-06"; 
"TAPICER MEBLOWY"; "Chojęcin, wielkopolskie"; "Umowa o pracę na okres próbny"; "CHOJMEX ROMAN MOŚ"; "2025-01-23"; 
"Tapicer meblowy (do przyuczenia)"; "Tarnowo Podgórne, wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2024-11-21"; 
"TAPICER MEBLOWY/POMOCNIK TAPICERA"; "Piaski, wielkopolskie"; "Umowa o pracę na okres próbny"; "GABI JERCZYŃSKI SPÓŁKA KOMANDYTOWA"; "2025-01-28"; 
"Tapicer samochodowy"; "Lębork, pomorskie"; "Umowa o pracę na czas określony"; "BESTLOG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; "2025-01-22"; 
"Tapicer samochodowy"; "Kraków, małopolskie"; "Umowa o pracę na okres próbny"; "RYSZARD TURLEJ PRZEDSIĘBIORSTWO USŁUGOWE NAPRAW I OBSŁUGI POJAZÓW ""HIT-BUS"""; "2025-02-03"; 
"Tapicer z możliwością przyczenia"; "Zalewo, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; ",,MATIK"" Stańczyk Grzegorz"; "2025-01-21"; 
"Tartacznik"; "Ostrowiec Świętokrzyski, świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "TARTAK MARCHEWKA Paweł Marchewka"; "2024-09-04"; 
"Tartacznik"; "Lipa, podkarpackie"; "Umowa o pracę na czas określony"; "Zakład Przemysłu Drzewnego w Lipie Mieczysław Toś"; "2025-01-20"; 
"Tartacznik"; "Dąbrowy, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; "2025-01-23"; 
"Tartacznik"; "Górno, lubelskie"; "Umowa o pracę na czas nieokreślony"; "HANMAR PAULINA ZAWIŚLAK"; "2025-01-28"; 
"Tartacznik"; "Malechy, mazowieckie"; "Umowa o pracę na czas określony"; "Przedsiębiorstwo Usługowo-Handlowe ""DERWEX"" - Rafał Durka"; "2025-01-31"; 
"Tartacznik"; "Smólsko Duże, lubelskie"; "Umowa o pracę na okres próbny"; "Wyroby z Drzewa Skup i Sprzedaż Głąb Henryk"; "2025-02-05"; 
"Tartacznik "; "Jarosław, podkarpackie"; "Umowa o pracę na okres próbny"; "BULIŃSKI BOGUSŁAW - ZAKŁAD BUDOWLANO-KONSERWATORSKI ""ARKADY"""; "2025-01-17"; 
"Tartacznik/ operator traka taśmowego"; "Pawłów, mazowieckie"; "Umowa o pracę na czas określony"; "STOLPAW ALBUD DRZWI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2024-12-13"; 
"Tatuażysta"; "Wolsztyn, wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "DNT Andrii Beniukh"; "2025-02-04"; 
"TCHNOLOG ŻYWIENIA"; "Rogowo, zachodniopomorskie"; "Umowa o pracę na czas określony"; "AMW REWITA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-17"; 
"technik"; "Bydgoszcz, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Regionalne Centrum Informatyki"; "2025-01-22"; 
"technik"; "Toruń, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "I Regionalna Baza Logistyczna"; "2025-01-31"; 
"Technik"; "Osiedle Poznańskie, lubuskie"; "Umowa o pracę na czas nieokreślony"; "ELEKTROMECHANIKA DŹWIGOWA PRZEMYSŁAW NITECKI"; "2025-01-09"; 
"Technik"; "Złocieniec, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Regionalne Centrum Informatyki Bydgoszcz"; "2025-02-03"; 
"Technik"; "Poznań, wielkopolskie"; "Umowa o pracę na okres próbny"; "14 Wojskowy Oddział Gospodarczy w Poznaniu/Centrum Szkolenia Wojsk Lądowych/12 Wielkopolska Brygada Obrony Terytorialnej w Poznaniu/CWCR/Regionalna Wojskowa Pracownia Psychologiczna w Poznaniu"; "2025-02-05"; 
"TECHNIK"; "Tczew, pomorskie"; "Umowa o pracę na okres próbny"; "BELBAL Sp. z o.o."; "2025-01-27"; 
"Technik "; "Mława, mazowieckie"; "Umowa o pracę na okres próbny"; "LG ELECTRONICS MŁAWA SP. Z O.O."; "2025-01-08"; 
"Technik "; "Wałbrzych, dolnośląskie"; "Umowa o pracę na okres próbny"; "Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Wałbrzychu"; "2025-01-10"; 
"Technik "; "Darłowo, zachodniopomorskie"; "Umowa o pracę na okres próbny"; "17 Wojskowy Oddział Gospodarczy"; "2025-02-06"; 
"Technik - Elektryk"; "Łuszczów Drugi, lubelskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Produkcyjno-Montażowe""MONTECH"" Sp. z o.o."; "2025-01-09"; 
"Technik - sekcja TUN"; "Świętoszów, dolnośląskie"; "Umowa o pracę na okres próbny"; "43 Wojskowy Oddział Gospodarczy w Świętoszowie"; "2025-01-07"; 
"Technik administracji"; "Międzychód, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-23"; 
"Technik administracji"; "Milicz, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-28"; 
"Technik administracji"; "Milicz, dolnośląskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-28"; 
"Technik administracji"; "Włoszczowa, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-30"; 
"Technik administracji"; "Debrzno, pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-31"; 
"Technik administracji"; "Golub-Dobrzyń, kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Technik administracji"; "Międzychód, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Technik administracji"; "Międzychód, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Technik administracji"; "Piecki, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-03"; 
"Technik administracji"; "Krzyż Wielkopolski, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Technik administracji"; "Krzyż Wielkopolski, wielkopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-04"; 
"Technik administracji"; "Nowy Targ, małopolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Technik administracji (staż)"; "Ryki, lubelskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"Technik administracji w Dziale Czynności Analitycznych i Sprawdzających oraz Identyfikacji i Rejestracji Podatkowej."; "Strzelce Opolskie, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Technik administracji w Referacie Egzekucji Administracyjnej."; "Strzelce Opolskie, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Technik administracji w Referacie Kontroli Podatkowej i Postępowania Podatkowego."; "Strzelce Opolskie, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Technik administracji w Referacie Obsługi Bezpośrdniej"; "Strzelce Opolskie, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Technik administracji w Referacie Rachunkowości."; "Strzelce Opolskie, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Technik administracji w Wieloosobowym Stanowisku Wsparcia. "; "Strzelce Opolskie, opolskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-05"; 
"Technik analityk"; "Pisz, warmińsko-mazurskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-06"; 
"Technik analityki medycznej"; "Kłodzko, dolnośląskie"; "Umowa o pracę na okres próbny"; "Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Wałbrzychu"; "2025-01-10"; 
"Technik analityki medycznej"; "Jelenia Góra, dolnośląskie"; "Umowa o pracę na okres próbny"; "Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Wałbrzychu"; "2025-01-10"; 
"Technik analityki medycznej"; "Iława, warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Powiatowy Szpital w Iławie"; "2025-01-17"; 
"Technik archiwista"; "Głogów Małopolski, podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-01-29"; 
"Technik archiwista"; "Włoszczowa, świętokrzyskie"; "Nie dotyczy"; "kontakt przez PUP"; "2025-02-07"; 
"TECHNIK AUTOMATYK UTRZYMANIA RUCHU"; "Strzelce Opolskie, opolskie"; "Umowa o pracę na czas określony"; "KRONOSPAN KO SP. Z O.O."; "2025-01-20"; 
"Technik bezpieczeństwa i higieny pracy*"; "Tuchola, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; """POMORSKIE PRALINKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-02-07"; 
"technik budowlany"; "Gliwice, śląskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO BUDOWLANE RADBUD ALEKSANDER RADZKI"; "2025-01-09"; 
"Technik budownictwa"; "Sieradz, łódzkie"; "Umowa o pracę na czas nieokreślony"; "ZARZĄDZANIE NIERUCHOMOŚCIAMI K.R. KURPISZ ROMAN"; "2025-01-07"; 
"Technik dentystyczny"; "Kielce, świętokrzyskie"; "Umowa o pracę na okres próbny"; "LABORATORIUM IWONA ZAREMBA-VAN DEN ENDE"; "2025-01-03"; 
"Technik dentystyczny"; "Tychy, śląskie"; "Umowa o pracę na okres próbny"; "STOMATOLOGIA NITECKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; "2025-01-03"; 
"Technik dentystyczny"; "Siedlce, mazowieckie"; "Umowa o pracę na okres próbny"; "PROTETYKA URSZULA WAWER"; "2025-01-10"; 
"Technik dentystyczny"; "Siedlce, mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Stanisław Niewiński NZOZ Centrum Stomatologiczne-Przychodnia"; "2025-01-13"; 
"Technik dentystyczny"; "Kraków, małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Niepubliczny Zakład Opieki Zdrowotnej ""Śródmieście"" sp. z o.o."; "2025-02-06"; 
"Technik dentystyczny R64/2932-1584/24"; "Włocławek, kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "BellaDent Klinika Stomatologiczna EWA BERENS"; "2024-12-30"; 
"Technik dentystyczny- ceramista"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę na czas określony"; "SPECJALISTYCZNE LABORATORIUM DENTYSTYCZNE PRODENTAL BARTŁOMIEJ WOJCIECHOWSKI"; "2024-11-13"; 
"Technik dentystyczny- dział gipsowni i akrylu"; "Gorzów Wielkopolski, lubuskie"; "Umowa o pracę na czas określony"; "SPECJALISTYCZNE LABORATORIUM DENTYSTYCZNE PRODENTAL BARTŁOMIEJ WOJCIECHOWSKI"; "2024-11-13"; 
